NBASeasons,3PointersMade,3PointersAttempts,3PointersPercentage,3PointersPercentageShareInTotalPoints
1996-97,6.044828,16.7931,35.96207,18.73551724
1997-98,4.403448276,12.71379,34.37931,13.87586207
1998-99,4.455172,13.16552,33.61724,14.54689655
1999-00,4.837931,13.71724,35.28966,14.85172
2000-01,4.841379,13.7069,35.18276,15.277241
2001-02,5.213793,14.75517,35.17586,16.32759
2002-03,5.134483,14.67586,34.66207,16.14483
2003-04,5.182759,14.92069,34.55517,16.62759
2004-05,5.6,15.75,35.31667,17.22026
2005-06,5.726667,15.98333,35.68667,17.63767
2006-07,6.07,16.94,34.90453444,18.37033
2007-08,6.563333,18.10667,36.02333,19.63233
2008-09,6.653333,18.13333,36.54333,19.94667
2009-10,6.44,18.13667,35.27667,19.16533
2010-11,6.463333,18.01,35.62667,19.40233
2011-12,6.406667,18.38667,34.72333,17.02570263
2012-13,7.163333,19.96667,35.75667,21.82267
2013-14,7.743333,21.53667,35.87767,22.931
2014-15,7.9,22.4,34.9,23.5
2015-16,8.5,24.1,35.3,24.8
2016-17,9.7,27,35.7,27.4
2017-18,10.5,29,36.2,29.6
2018-19,11.4,32,35.6,30.6
2019-20,12.2,34.1,35.8,32.7
